classname	date	title	slug
Class 1	5-Sep	"Internet sausage making basics, examples of data journalism"	w01
Class 2	12-Sep	An introduction to mapping	w02
Class 3	19-Sep	Introduction to Excel and asking data questions	w03
Class 4	26-Sep	More Excel practice	w04
Class 5	3-Oct	Using the Chrome Inspector	w05
Class 6	10-Oct	Charts	w06
Class 7	17-Oct	"Scraping, cleaning"	w07
Class 8	24-Oct	Project help	w08
Class 9	31-Oct	Project help	w09
Class 10	7-Nov	Presentations	w10
Class 11	14-Nov		w11
Class 12	21-Nov		w12
Class 13	28-Nov		w13
Class 14	5-Dec		w14
Class 15	12-Dec		w15
