name,cleanname,state,first.year.bachelor,masters.deg.highest,teacher.day,evaluations,evaluations.updated,tenure,tenure.updated,recall
Alabama - Birmingham City Schools,"Birmingham, Ala.",Alabama,36780,54613,not in NCTQ survey,follows state policy,no,follows state policy,no,yes
Alabama - Mobile County Public Schools,"Mobile County, Ala.",Alabama,36144,52737,not in NCTQ survey,follows state policy,no,follows state policy,no,yes
Alaska - Anchorage School District,"Anchorage, Alaska",Alaska,45611,69289,7,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
Arizona - Mesa Public Schools,"Mesa, Ariz.",Arizona,35569,54722,7.5,yes,yes,not in NCTQ survey,not in NCTQ survey,no
Arkansas - Little Rock Public Schools,"Little Rock, Ark.",Arkansas,33285,58792,7.5,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
California - Fresno Unified School District,"Fresno Unified, Calif.",California,40208,49412,7,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
California - Long Beach Unified School District,"Long Beach Unified, Calif.",California,49812,82892,8,no,no,not in NCTQ survey,not in NCTQ survey,yes
California - Los Angeles Unified School District,"Los Angeles Unified, Calif.",California,44742,59997,not in NCTQ survey,yes,yes,not in NCTQ survey,not in NCTQ survey,yes
California - Oakland Unified School District,"Oakland Unified, Calif.",California,39456,58094,7,yes,yes,not in NCTQ survey,not in NCTQ survey,yes
California - Sacramento City Unified School District,"Sacramento Unified, Calif.",California,40885,56474,not in NCTQ survey,yes,yes,no,no,yes
California - San Diego Unified School District,"San Diego Unified, Calif.",California,38348,64475,7.083333333,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
California - San Francisco Unified School District,"San Francisco Unified, Calif.",California,46020,58712,7.5,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey
Colorado - Denver Public Schools,"Denver, Colo.",Colorado,37551,61100,8,yes,yes,not in NCTQ survey,not in NCTQ survey,yes
Colorado - Douglas County School District,"Douglas County, Colo.",Colorado,34134,64038,7.5,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
Colorado - Harrison School District Two,"Harrison  Two, Colo.",Colorado,35000,90000,8,yes,yes,yes,yes,not in NCTQ survey
Colorado - Jefferson County Public Schools,"Jefferson County, Colo.",Colorado,32608,70602,8,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey,yes
Connecticut - Bridgeport Public Schools,"Bridgeport, Conn.",Connecticut,42428,76778,6.866666667,no,no,no,no,yes
Connecticut - Hartford Public Schools,"Hartford, Conn.",Connecticut,42893,75612,7.25,no,no,not in NCTQ survey,not in NCTQ survey,yes
Connecticut - New Haven School District,"New Haven, Conn.",Connecticut,42174,80376,not in NCTQ survey,yes,yes,yes,yes,yes
Delaware - Christina School District,"Christina, Del.",Delaware,36903,73254,7.5,follows state policy,yes,not in NCTQ survey,not in NCTQ survey,yes
District of Columbia - District of Columbia Public Schools,"District of Columbia, D.C.",District of Columbia,51539,100839,7.5,yes,yes,yes,yes,yes
Florida - Brevard County School District,"Brevard County, Fla.",Florida,36400,58975,8,yes,yes,not in NCTQ survey,not in NCTQ survey,not in NCTQ survey
Florida - Broward County School District,"Broward County, Fla.",Florida,39000,74900,7.5,yes,yes,not in NCTQ survey,not in NCTQ survey,yes
Florida - Duval County School District,"Duval County, Fla.",Florida,37300,68449,7.333333333,yes,yes,not in NCTQ survey,not in NCTQ survey,yes
Florida - Hillsborough County School District,"Hillsborough County, Fla.",Florida,37018,64500,8,yes,yes,not in NCTQ survey,not in NCTQ survey,yes
