name	first.year.bachelor	masters.deg.highest	teacher.day	evaluations	evaluations.updated	tenure	tenure.updated	recall
Alabama - Birmingham City Schools	36780	54613	not in NCTQ survey	follows state policy	no	follows state policy	no	yes
Alabama - Mobile County Public Schools	36144	52737	not in NCTQ survey	follows state policy	no	follows state policy	no	yes
Alaska - Anchorage School District	45611	69289	7	not in NCTQ survey	not in NCTQ survey	not in NCTQ survey	not in NCTQ survey	yes
Arizona - Mesa Public Schools	35569	54722	7.5	yes	yes	not in NCTQ survey	not in NCTQ survey	no
Arkansas - Little Rock Public Schools	33285	58792	7.5	not in NCTQ survey	not in NCTQ survey	not in NCTQ survey	not in NCTQ survey	yes
California - Fresno Unified School District	40208	49412	7	not in NCTQ survey	not in NCTQ survey	not in NCTQ survey	not in NCTQ survey	yes
California - Long Beach Unified School District	49812	82892	8	no	no	not in NCTQ survey	not in NCTQ survey	yes
California - Los Angeles Unified School District	44742	59997	not in NCTQ survey	yes	yes	not in NCTQ survey	not in NCTQ survey	yes
California - Oakland Unified School District	39456	58094	7	yes	yes	not in NCTQ survey	not in NCTQ survey	yes
California - Sacramento City Unified School District	40885	56474	not in NCTQ survey	yes	yes	no	no	yes
California - San Diego Unified School District	38348	64475	7.083333333	not in NCTQ survey	not in NCTQ survey	not in NCTQ survey	not in NCTQ survey	yes
California - San Francisco Unified School District	46020	58712	7.5	not in NCTQ survey	not in NCTQ survey	not in NCTQ survey	not in NCTQ survey	not in NCTQ survey
Colorado - Denver Public Schools	37551	61100	8	yes	yes	not in NCTQ survey	not in NCTQ survey	yes
Colorado - Douglas County School District	34134	64038	7.5	not in NCTQ survey	not in NCTQ survey	not in NCTQ survey	not in NCTQ survey	yes
Colorado - Harrison School District Two	35000	90000	8	yes	yes	yes	yes	not in NCTQ survey
Colorado - Jefferson County Public Schools	32608	70602	8	not in NCTQ survey	not in NCTQ survey	not in NCTQ survey	not in NCTQ survey	yes
Connecticut - Bridgeport Public Schools	42428	76778	6.866666667	no	no	no	no	yes
Connecticut - Hartford Public Schools	42893	75612	7.25	no	no	not in NCTQ survey	not in NCTQ survey	yes
Connecticut - New Haven School District	42174	80376	not in NCTQ survey	yes	yes	yes	yes	yes
Delaware - Christina School District	36903	73254	7.5	follows state policy	yes	not in NCTQ survey	not in NCTQ survey	yes
District of Columbia - District of Columbia Public Schools	51539	100839	7.5	yes	yes	yes	yes	yes
Florida - Brevard County School District	36400	58975	8	yes	yes	not in NCTQ survey	not in NCTQ survey	not in NCTQ survey
Florida - Broward County School District	39000	74900	7.5	yes	yes	not in NCTQ survey	not in NCTQ survey	yes
Florida - Duval County School District	37300	68449	7.333333333	yes	yes	not in NCTQ survey	not in NCTQ survey	yes
Florida - Hillsborough County School District	37018	64500	8	yes	yes	not in NCTQ survey	not in NCTQ survey	yes
Florida - Lee County School District	38192	63669	8	yes	yes	yes	yes	yes
Florida - Miami-Dade County School District	38500	71325	7.333333333	yes	yes	yes	yes	yes
Florida - Orange County School District	37000	65596	7.5	yes	yes	yes	yes	yes
Florida - Palm Beach County School District	36822	69200	7.5	yes	yes	not in NCTQ survey	not in NCTQ survey	yes
Florida - Pinellas County School District	36925	62090	7.5	yes	yes	not in NCTQ survey	not in NCTQ survey	yes
Florida - Polk County School District	35000	57856	7.75	yes	yes	no	no	yes
Georgia - Atlanta Public Schools	44312	73114	7.5	follows state policy	no	follows state policy	no	yes
Georgia - Cobb County School District	38958	66318	8	follows state policy	no	not in NCTQ survey	not in NCTQ survey	not in NCTQ survey
Georgia - Dekalb County School System	40963	67842	8	follows state policy	no	not in NCTQ survey	not in NCTQ survey	no
Georgia - Fulton County Schools	39132	69456	8	not in NCTQ survey	not in NCTQ survey	not in NCTQ survey	not in NCTQ survey	no
Georgia - Gwinnett County Public Schools	38009	69620	8	follows state policy	no	not in NCTQ survey	not in NCTQ survey	not in NCTQ survey
Hawaii - Hawaii Department of Education	42509	65401	7	not in NCTQ survey	not in NCTQ survey	not in NCTQ survey	not in NCTQ survey	yes
Idaho - Meridian Joint District	31750	46912	not in NCTQ survey	not in NCTQ survey	not in NCTQ survey	not in NCTQ survey	not in NCTQ survey	not in NCTQ survey
Illinois - Chicago Public Schools	49159	86215	7.5	yes	yes	not in NCTQ survey	not in NCTQ survey	no
Illinois - Elgin School District U-46	39349	83903	not in NCTQ survey	no	no	not in NCTQ survey	not in NCTQ survey	yes
Indiana - Indianapolis Public Schools	35684	66692	not in NCTQ survey	not in NCTQ survey	not in NCTQ survey	not in NCTQ survey	not in NCTQ survey	not in NCTQ survey
Iowa - Des Moines Public Schools	36834	60745	7.75	yes	yes	not in NCTQ survey	not in NCTQ survey	yes
