county	totalpop	pctwhite	pctblack	pctamind	pctasian	pctother	pcthispanic	year	fips
Alameda	1510271	0.340706403	0.121915868	0.002773674	0.266478665	0.043073727	0.225051663	2010	6001
Alpine	1175	0.725106383	0	0.178723404	0.005957447	0.018723404	0.071489362	2010	6003
Amador	38091	0.796119818	0.02462524	0.014360348	0.012050091	0.027985613	0.124858891	2010	6005
Butte	220000	0.751890909	0.014240909	0.015431818	0.042372727	0.034627273	0.141436364	2010	6007
Calaveras	45578	0.835359165	0.007788845	0.011540656	0.013164246	0.028961341	0.103185748	2010	6009
Colusa	21419	0.397964424	0.007843503	0.013819506	0.015220132	0.014052944	0.551099491	2010	6011
Contra Costa	1049025	0.477512929	0.089229523	0.002844546	0.146100427	0.040695884	0.243616692	2010	6013
Del Norte	28610	0.64708144	0.033799371	0.067633695	0.033694512	0.039776302	0.17801468	2010	6015
El Dorado	181058	0.799130665	0.007157927	0.008577362	0.035369881	0.028946525	0.120817639	2010	6017
Fresno	930450	0.327284647	0.048369069	0.006425923	0.094494062	0.020368639	0.50305766	2010	6019
Glenn	28122	0.558886281	0.006827395	0.016961809	0.024749307	0.017815234	0.374759974	2010	6021
Humboldt	134623	0.772215743	0.010347415	0.051707361	0.02366609	0.043930086	0.098133306	2010	6023
Imperial	174528	0.13709548	0.029301889	0.009408232	0.013109644	0.007368445	0.803716309	2010	6025
Inyo	18546	0.663000108	0.005499838	0.102178367	0.013156476	0.022215033	0.193950178	2010	6027
Kern	839631	0.385638453	0.054043979	0.007018559	0.040607124	0.020769838	0.491922047	2010	6029
Kings	152982	0.352191761	0.067419696	0.008478122	0.036389902	0.026532533	0.508987986	2010	6031
Lake	64665	0.741328385	0.018340679	0.023660404	0.012247738	0.032954458	0.171468337	2010	6033
Lassen	34895	0.666857716	0.079954148	0.028628743	0.0143287	0.034933372	0.175297321	2010	6035
Los Angeles	9818605	0.277872569	0.08301444	0.001923491	0.137304128	0.022435774	0.477449597	2010	6037
Madera	150865	0.380340039	0.033201869	0.011864912	0.017499089	0.020243264	0.536850827	2010	6039
Marin	252409	0.728302081	0.026231236	0.002103728	0.055517038	0.03306142	0.154784497	2010	6041
Mariposa	18251	0.832392746	0.007068106	0.025149307	0.012437675	0.031121582	0.091830585	2010	6043
Mendocino	87841	0.685887	0.006193008	0.039685341	0.017008003	0.029177719	0.222048929	2010	6045
Merced	255793	0.319004038	0.034344177	0.004401997	0.072945702	0.020090464	0.549213622	2010	6047
Modoc	9686	0.789696469	0.007949618	0.030249845	0.009395003	0.024158579	0.138550485	2010	6049
Mono	14202	0.68208703	0.00295733	0.016828616	0.014223349	0.019011407	0.264892269	2010	6051
Monterey	415057	0.328713887	0.027225176	0.003279068	0.061786694	0.02484719	0.554147984	2010	6053
